Device,Acc_x,Acc_y,Acc_z
2.0,-3231.1191812890474,-1126.0503383933521,-339.8107822801246
2.0,-2980.2368801148214,-905.5857042797277,-377.3480287340821
2.0,-3097.585234485689,-890.756300726875,-475.14242593382227
2.0,-3578.1054223170045,-797.8250257304458,-227.19908872100174
2.0,-4035.358057647455,-809.6886096430607,-132.368159953688
2.0,-4110.218071546711,-536.8264850045814,21.972666784632402
2.0,-3865.4059171676636,-607.0192597928594,161.79871669069666
2.0,-3877.5454779140287,-944.1423367281429,148.81487386148484
2.0,-3994.893343722234,-1148.788899671836,281.6496264250552
2.0,-4130.450917071984,-966.880836936294,518.3552132278193
2.0,-4551.285603007333,-726.643583325089,593.2620070019707
2.0,-6188.088753184335,-80.07908453706835,115.85587940987993
2.0,-4690.888963761877,-443.89517947298583,12.983848554555511
2.0,-4135.508517749974,-350.96390447655665,354.5589317552379
2.0,-5163.316355376947,179.1092704554073,97.87823913283036
2.0,-5137.014095900488,316.42640223268603,-377.3480287340821
2.0,-4628.168266327655,465.68409707702574,-502.80145445808034
2.0,-4098.078755081677,244.78268794348983,-510.7040165877733
2.0,-3570.012381819428,-174.98763369732217,-325.98128328557874
2.0,-2833.5518035732334,-226.39642606993192,79.90060648957237
2.0,-2736.436294727638,-49.43153729326412,227.71672086148965
2.0,-2909.4233864643534,10.945567036749887,271.66206206454603
2.0,-3254.386489508582,29.851546984349117,341.57510419360926
2.0,-3458.7339299624086,-42.51111970573175,370.5390530531524
2.0,-3748.057807078127,-109.73801378343926,282.6483706470396
2.0,-4000.963246236082,-57.34058051202141,204.7452984041855
2.0,-4219.473385420002,-27.681660807889994,127.84097038331579
2.0,-4746.527945409056,-236.2827510863054,-116.56300515913573
2.0,-4505.762311278797,-514.0879237260975,-132.368159953688
2.0,-5236.152742729812,-455.75876338560073,-9.87822079237123
2.0,-5307.977805372145,-861.0973714805041,-302.2735358261671
2.0,-3866.417241878197,-394.4636612642007,-712.2197478521066
2.0,-4547.238349914551,-115.66979047216353,-955.2239761000774
2.0,-4495.645644234829,-458.7246440961713,-1061.9086564564313
2.0,-3881.5917538814856,-265.9416650650931,-643.0721918090445
2.0,-3169.4100528466897,-83.04498051522208,-78.03794607275822
2.0,-2956.9698161766178,-239.24863179687594,344.5713673947287
2.0,-3124.8988186726806,-389.5205063898055,628.2185433340854
2.0,-3353.525380619237,-552.6445561745128,740.0793618843204
2.0,-3650.942053951201,-771.1319771946454,608.2434146130671
2.0,-4020.184034206828,-1043.9940407627919,315.6074185351857
2.0,-4154.729550002051,-1284.231294373997,242.69809793741976
2.0,-4063.683455107642,-1340.5832110858355,287.6421833624605
2.0,-3891.707932362791,-1049.9259243245986,190.76269608540613
2.0,-4175.973231675195,-579.3376047103131,111.86084908540131
2.0,-4458.2158815665325,-354.91842226903947,-73.09883710790854
2.0,-5795.579953271835,-77.11319619270621,-289.4318799992077
2.0,-5809.742407720597,63.68329946989896,-564.0463873011167
2.0,-4243.75201835007,255.72824734644811,-1.9756441107630487
2.0,-3634.7562172373787,67.66350115420389,484.3974516528552
2.0,-4127.415965815059,236.82227694108838,-142.2463778833874
2.0,-3910.928720333537,299.51053076103085,-276.5901936370818
2.0,-3766.266781775678,288.564925555323,-399.0801203934873
2.0,-3564.9542925787755,-30.647552969147924,-445.50774160955774
2.0,-3491.105847671384,-268.90754577566366,-191.6374827994675
2.0,-3534.6055128535286,2.985154603012517,36.95402859297932
2.0,-3700.5113773658627,143.2874285783924,362.54897713661194
2.0,-3809.7666912391537,165.17856265189218,580.2781489051756
2.0,-3759.1855545512967,49.752576398800635,626.220993819784
2.0,-3788.522521003348,-192.78299429866135,635.2098139583087
2.0,-3788.522521003348,-205.63518475802218,549.3166505313311
2.0,-3984.7769209595976,-15.818091208634318,385.5204301290825
2.0,-4545.215700493484,-135.44240996974415,79.90060648957237
2.0,-4717.191223238336,-387.54323222598094,-68.15972050926725
2.0,-5185.5718503232865,-323.2822493940103,17.977636460153782
2.0,-6401.540803127602,-616.9055695416497,-454.3981774420035
2.0,-4398.530623951897,-425.1112275924839,-869.2834220948766
2.0,-3232.130750280912,-94.90854916025381,-972.0169740622161
2.0,-4112.24120953044,-223.4305300917782,-1121.1780251049604
2.0,-4017.1490829499044,-313.39593964522004,-1131.0562735698263
2.0,-3454.68740971362,-160.1581690741367,-778.4038049275758
2.0,-3123.8872496808162,-61.29510593829585,-134.34380048611126
2.0,-3149.177695884079,-435.98614388802014,195.75647826566072
2.0,-3407.141224282687,-605.0419856290348,556.3079211555544
2.0,-3721.7555476016687,-959.9604078980743,784.02471835496
2.0,-3867.4290551513923,-1347.5035790537224,790.0172447571989
2.0,-3981.7424582653357,-990.608004761524,314.6086132428685
2.0,-4035.358057647455,-956.0059206407578,368.54153407401725
