Device,Acc_x,Acc_y,Acc_z
2.0,-611.0194276590817,283.589708756228,-1459.0131210499123
2.0,94.39493239414497,505.4861978917825,-1477.7818664175566
2.0,-880.1107035308588,503.4960684229116,-285.4805683991948
2.0,-1307.014925558059,-569.4512949615229,-183.73490540219134
2.0,-1574.0830634461074,-652.4962602091617,-833.721861976092
2.0,-2523.995569494904,-455.75876338560073,-720.1223099817995
2.0,-2323.694649289866,-70.19278242206964,457.4309607021144
2.0,-4319.623845522521,1361.2304798892287,-433.6538984150183
2.0,-7059.094847225752,1594.0726047656576,-1014.4932836782737
2.0,-6796.073229586492,4323.498635995584,168.79003311766954
2.0,-5193.6644022582,4669.777194007498,90.88694560723226
2.0,-4928.620135197874,2730.4213555132756,855.9352183928255
2.0,-6147.6240392591135,1644.820219180623,1738.837019341891
2.0,-5876.509381122277,1239.8341395815864,2527.8552145254416
2.0,-4586.691739129238,790.0709255796964,2005.505268691016
2.0,-3707.592848871575,1216.9480323791504,1754.8170490343064
2.0,-3523.477765380359,1953.2861035378253,40.94905891745794
2.0,-6363.09922718611,3343.3730485009364,-1450.122868428465
2.0,-5463.7682242471665,4984.2131919548165,-1852.166335113713
2.0,-3313.0604224126846,3648.853937133414,209.73908058444007
2.0,-3483.0130514551383,3618.007312055494,674.1613882486938
2.0,-4412.693078400659,3890.651659887345,1193.5153456984974
2.0,-5167.362631344405,4365.291263236374,1268.4221394726487
2.0,-5240.199507259932,4335.439596019807,2548.829453890441
2.0,-4781.935058656286,3519.4972010909532,1602.0071066793848
2.0,-4338.844389211936,3309.5415498389575,612.2383915010046
2.0,-3807.7433089740944,3070.7289449504165,565.2967412940792
2.0,-3267.53737496548,2821.9662728856824,272.66080628653043
2.0,-3409.1646065477466,2819.976112881645,13.982606135675164
2.0,-3105.6780307019344,2774.2036541954417,-145.20984631581385
2.0,-2954.946433911558,2706.5401683088207,-91.86745270109567
2.0,-3175.4799553605376,2881.6691187561537,51.935394218222044
2.0,-3392.9785255525935,3195.110403123449,172.78505580835656
2.0,-3432.431914767281,3184.1648895232406,207.74157687288817
2.0,-3251.351538251658,2835.8969043512816,267.66705464144223
2.0,-3633.744403964183,2932.4168553117847,347.5676611310146
2.0,-3724.7904988585924,2735.3966333827034,-5.926932570845133
2.0,-3681.2905893951165,2326.430600197589,-42.47634778501558
2.0,-3881.5917538814856,2126.425016121786,-328.9447517180052
2.0,-4138.543469006898,1982.142568611708,-554.1681999065837
2.0,-4542.180260673898,1986.122766479117,-682.5850635278421
2.0,-4617.040763135817,1874.677104050996,-1263.4245098614301
2.0,-4298.380163849377,1364.2157198952848,-1051.0426564294785
2.0,-3926.102988055495,1057.7397512607888,-882.1251084570025
