Device,Acc_x,Acc_y,Acc_z
2.0,-4021.1953589173613,-88.97676483773795,476.40737573631475
2.0,-4017.1490829499044,-92.93129026401239,471.4135630208938
2.0,-4043.4513424263628,-94.90854916025381,473.4110820000289
2.0,-4059.637179140185,-84.0336099633428,421.47571068318166
2.0,-4033.3349196637264,-105.78348835716483,413.4856347666412
2.0,-4064.6952683808377,-90.95402373397937,410.4893410303554
2.0,-4031.3117816799977,-75.1359372964648,419.47816116888015
2.0,-4022.207172190557,-77.11319619270621,421.47571068318166
2.0,-4036.3698709206506,-56.3519510639007,439.4533204250649
2.0,-4043.4513424263628,-50.42016674138483,449.4409153207404
2.0,-4040.4163911694386,-67.22688644391592,481.40115791656933
2.0,-4042.4395291531673,-55.36332161577999,502.3750613947384
2.0,-4048.509431667015,-64.26099046576219,499.37876765845255
2.0,-4055.5906588913967,-55.36332161577999,495.3837602353487
2.0,-4058.6253658669893,-62.28373538641656,460.42725443840027
2.0,-4021.1953589173613,-80.07908453706835,440.4520951822156
2.0,-3986.8005475059886,-65.24962754767449,417.4806727249114
2.0,-3952.4052475319536,-85.0222394114635,355.5576759772223
2.0,-3825.952527952976,-22.738505933494842,347.5676611310146
2.0,-3689.383629892693,-4.943153443059227,326.5937271176792
2.0,-3541.686984359241,-0.9886307005396449,247.69188011767434
2.0,-3487.0593274225953,18.90597994759923,186.7676733947191
2.0,-3621.6048432178186,24.876288199400317,42.94657407969725
2.0,-3857.312876670087,12.935669787350248,-2.9634662854225664
2.0,-4187.101223429696,49.752576398800635,-72.11100920790531
2.0,-4151.695087307789,131.34680444099865,227.71672086148965
2.0,-4259.938099345223,232.84204853851287,136.82979052184058
2.0,-4691.900777035073,158.21320111634301,133.83352732072112
2.0,-4701.0051422431825,200.0053550620548,105.8682997817876
2.0,-4735.4004422172175,219.90639020185003,107.8658187609227
2.0,-4679.761460570038,192.04494405965337,22.971424365752057
2.0,-4395.49518413231,105.47546486629814,215.7316375218454
2.0,-4151.695087307789,139.30721544340008,24.968939527991367
2.0,-4088.9741455922363,181.09938465669507,-56.30585823024883
2.0,-4060.648503850718,287.5698760884707,-146.19767421581707
2.0,-4042.4395291531673,242.79257374220208,-143.23419051580743
2.0,-4040.4163911694386,139.30721544340008,-8.890398617711712
2.0,-4125.392339268669,277.6193814199479,-30.62248359754926
