Device,Acc_x,Acc_y,Acc_z
2.0,-4499.692408764949,-105.78348835716483,194.75773404367635
2.0,-4255.891823377766,-112.7039021278014,180.7751164573138
2.0,-3996.9164817059627,-118.63568645031727,227.71672086148965
2.0,-4139.555282280094,-23.727137290063453,-171.88104694006873
2.0,-4156.753176548442,0.9950515542171713,-255.84591461009668
2.0,-4262.973050602147,-69.20415297394894,-350.67681284224403
2.0,-4293.321586046062,-6.9204152019724985,-419.82436888530606
2.0,-4246.787458169656,-36.57933538321589,-442.5443037122977
2.0,-4361.100372720937,-132.4765292591736,-476.13023856624227
2.0,-4185.078574008629,-141.3742019260516,-367.4698108043827
2.0,-4108.194933562982,-180.91942565362962,-341.78643808013106
2.0,-4054.5790898995324,-158.18091017789527,-298.32228529648705
2.0,-3989.8352544815816,-114.68116102404282,-293.38316106405415
2.0,-3955.4401987888773,-28.670290256010706,-285.4805683991948
2.0,-3965.5561329888515,-14.829460806289658,-285.4805683991948
2.0,-4010.067611444192,-38.556598096353106,-331.90822015043165
2.0,-4005.0095222035393,-5.931784322515863,-315.1152527234593
2.0,-4016.137269676709,-2.9658921612579316,-286.46838103161485
2.0,-4021.1953589173613,-50.42016674138483,-262.7606641073696
2.0,-4020.184034206828,-63.27236483453727,-195.58877913189716
2.0,-4060.648503850718,-63.27236483453727,-264.736319907376
2.0,-4118.311112044287,-35.59070593509518,-269.67541360464253
2.0,-4100.101893065405,2.985154603012517,-243.99205614797404
2.0,-4122.357876574407,-20.76124512880552,-238.06511928312113
2.0,-4124.381014558136,-82.05635106710137,-228.18690135342177
2.0,-4112.24120953044,-67.22688644391592,-176.82015590491844
2.0,-4144.613371520746,-53.386058902642766,-191.6374827994675
2.0,-4147.647834215008,-30.647552969147924,-149.16114264824353
2.0,-4130.450917071984,-36.57933538321589,-159.03934531035972
2.0,-4131.462241782517,-76.12455911079391,-186.6983738346178
2.0,-4121.346063301212,-41.52249025761104,-179.7836243373449
2.0,-4122.357876574407,-29.658921612579316,-173.85668747249198
2.0,-4098.078755081677,-119.62431589843797,-201.51570072916687
2.0,-4089.9857145841006,3.980206216868685,-164.9662974427958
2.0,-3997.928294979158,94.52989782954826,-267.69978833980247
2.0,-4041.427960161303,-82.05635106710137,-289.4318799992077
2.0,-3948.358727283165,-8.897676483773795,-503.7892670905004
2.0,-3983.7655962490644,41.792165396399184,-13.829509491009302
2.0,-4089.9857145841006,73.63381322290077,-311.1639411234465
2.0,-4082.9044873597195,-58.32921377703792,-189.66184226704425
2.0,-4181.031320915848,86.56948682714682,-22.719908108721015
2.0,-4023.218741182421,-71.18141187019036,-213.36957445887268
2.0,-4078.857967110931,-104.79485890904411,-276.5901936370818
2.0,-4054.5790898995324,-105.78348835716483,-238.06511928312113
2.0,-4120.334250028016,-172.02175298675164,-249.91897774524378
2.0,-4123.369201284941,-157.19228836356618,-212.38174655886948
2.0,-4164.845728483357,-50.42016674138483,-232.13819768585142
2.0,-4337.833064501403,274.63420248422466,-491.9353933607946
2.0,-4302.426439816834,-34.60207648697447,-274.61453783707543
2.0,-4329.740024003826,2.985154603012517,-329.9325948855916
2.0,-4258.9267746346895,-35.59070593509518,-695.4267498899679
2.0,-3962.521426013259,-60.306472673279345,-337.83515701528455
2.0,-4027.2652614312096,-182.89668454987105,-292.39534843163415
2.0,-4106.171795579254,-157.19228836356618,-265.72416307496246
2.0,-3646.8955337024126,-194.76025319490276,-155.08806424551324
2.0,-3840.1152266830695,-324.2708864759226,-72.11100920790531
2.0,-3676.232500154464,-451.8042455931179,49.937879055982734
2.0,-3889.6845500977315,-505.19031212955224,-14.81733166566882
2.0,-3824.940958961112,-434.0089002593619,-67.17190024305563
2.0,-3942.2890690506483,-419.17943563617644,-97.79438956594858
2.0,-4023.218741182421,-476.51998942992725,80.89935834534833
2.0,-4055.5906588913967,-489.3722104244545,96.8794796432628
2.0,-4121.346063301212,-441.9179358443276,117.85339075522344
2.0,-4097.067186089813,-425.1112275924839,86.89191528275364
2.0,-4067.7302196377614,-410.2817629692984,86.89191528275364
2.0,-4064.6952683808377,-449.8269714292933,95.88072778748685
2.0,-4064.6952683808377,-382.60007735158575,76.90432802086971
2.0,-3982.7537829758694,-319.3277010663611,59.925454867179276
2.0,-4138.543469006898,-292.63468306572713,-30.62248359754926
2.0,-3975.672555751488,-332.1799220608883,127.84097038331579
2.0,-4096.055617097949,-339.1003510991081,116.8546312656559
2.0,-4040.4163911694386,-280.77112968827856,88.88941899430557
2.0,-4051.5441386426082,-262.9757538193562,79.90060648957237
2.0,-4139.555282280094,-309.44142185273716,68.91426737191247
2.0,-4104.148657595525,-285.71428456267375,36.95402859297932
2.0,-4071.77673988655,-174.98763369732217,28.963969852469983
2.0,-4064.6952683808377,-275.82797481388343,75.90557616509375
2.0,-4125.392339268669,-413.247643679869,3.9950303244786185
2.0,-4048.509431667015,-215.5214945068125,85.8931481593945
2.0,-4039.404577896243,-542.7583074960553,353.56018753325355
2.0,-4003.997953211675,-350.96390447655665,313.60986902088416
2.0,-3978.707507008412,-364.8047320178298,24.968939527991367
2.0,-4215.4266208898825,-121.60158242847099,114.85712755410398
2.0,-4109.206746836177,-120.61294534655869,22.971424365752057
2.0,-4001.974570946615,-250.12356335999536,-4.939110396185615
2.0,-3836.068706434281,-223.4305300917782,154.80743079889015
2.0,-4003.997953211675,-269.896182857576,-15.80515288610439
2.0,-3867.4290551513923,-344.0435059735033,-54.33021388092979
2.0,-3852.2547874294346,-399.40678560342946,-26.671196807359085
2.0,-3986.8005475059886,-327.2367671864932,-2.9634662854225664
2.0,-4039.404577896243,-254.0780964200614,7.990060648957237
2.0,-4087.962576600372,-266.9303021470054,3.9950303244786185
